,years,total_injured_accum,total_injured_everest_accum,total_injured_hired_accum,total_injured_hired_everest_accum
1931,1931,2,0,0,0
1932,1932,2,0,0,0
1933,1933,2,0,0,0
1934,1934,2,0,0,0
1935,1935,2,0,0,0
1936,1936,2,0,0,0
1937,1937,2,0,0,0
1938,1938,2,0,0,0
1939,1939,3,0,1,0
1940,1940,3,0,1,0
1941,1941,3,0,1,0
1942,1942,3,0,1,0
1943,1943,3,0,1,0
1944,1944,3,0,1,0
1945,1945,3,0,1,0
1946,1946,3,0,1,0
1947,1947,3,0,1,0
1948,1948,3,0,1,0
1949,1949,3,0,1,0
1950,1950,3,0,1,0
1951,1951,3,0,1,0
1952,1952,5,2,3,2
1953,1953,7,2,4,2
1954,1954,11,2,4,2
1955,1955,13,2,4,2
1956,1956,13,2,4,2
1957,1957,14,2,4,2
1958,1958,14,2,4,2
1959,1959,15,2,5,2
1960,1960,16,2,6,2
1961,1961,21,2,7,2
1962,1962,24,3,7,2
1963,1963,27,5,8,2
1964,1964,28,5,8,2
1965,1965,35,5,10,2
1966,1966,35,5,10,2
1967,1967,35,5,10,2
1968,1968,35,5,10,2
1969,1969,43,6,10,2
1970,1970,52,6,10,2
1971,1971,57,8,10,2
1972,1972,63,9,10,2
1973,1973,69,10,10,2
1974,1974,81,11,13,2
1975,1975,87,12,13,2
1976,1976,93,14,14,2
1977,1977,108,14,16,2
1978,1978,118,14,18,2
1979,1979,145,17,22,3
1980,1980,157,18,22,3
1981,1981,174,19,22,3
1982,1982,194,23,22,3
1983,1983,228,30,22,3
1984,1984,284,46,28,8
1985,1985,322,53,30,8
1986,1986,352,56,33,9
1987,1987,403,62,36,9
1988,1988,446,74,39,9
1989,1989,467,82,39,9
1990,1990,505,94,40,10
1991,1991,537,105,41,10
1992,1992,582,123,43,11
1993,1993,609,128,45,12
1994,1994,649,138,47,13
1995,1995,679,149,48,14
1996,1996,720,162,50,14
1997,1997,771,175,52,14
1998,1998,833,188,57,15
1999,1999,880,199,62,16
2000,2000,952,223,64,18
2001,2001,996,229,65,18
2002,2002,1043,244,67,18
2003,2003,1113,282,68,18
2004,2004,1158,293,70,20
2005,2005,1198,312,75,22
2006,2006,1234,330,80,25
2007,2007,1279,343,81,25
2008,2008,1319,356,89,30
2009,2009,1356,365,94,30
2010,2010,1412,375,109,31
2011,2011,1436,379,109,31
2012,2012,1469,391,114,34
2013,2013,1489,397,119,34
2014,2014,1516,400,120,34
2015,2015,1534,405,123,35
2016,2016,1577,427,126,37
2017,2017,1637,454,135,40
2018,2018,1691,472,140,42
2019,2019,1713,485,142,44
